transcript_id,cov,fpkm,tpm
STRG.83.2,4.166988,0.835672,0.544139
STRG.84.1,3.228597,0.647482,0.421601
STRG.85.1,5.554779,1.113988,0.725362
STRG.86.1,1.480129,0.296834,0.19328
STRG.87.1,7.166726,1.437258,0.935855
STRG.87.2,2.269513,0.455142,0.296361
STRG.87.3,1.23188,0.247048,0.160863
STRG.88.1,7.85752,1.575793,1.026062
STRG.89.1,1.0,0.200546,0.130583
STRG.90.1,1.488195,0.298451,0.194334
STRG.91.1,1.463377,0.293474,0.191093
STRG.92.1,12.271511,2.461001,1.602455
STRG.93.1,1554.672607,311.783234,203.014404
STRG.94.1,4.212748,0.844849,0.550115
STRG.95.1,3.949079,0.791972,0.515684
STRG.96.1,6.503237,1.304197,0.849215
STRG.96.2,1.053327,0.21124,0.137547
STRG.96.3,1.56579,0.314013,0.204466
STRG.97.1,116.175743,23.298569,15.170621
STRG.97.2,6.002071,1.203691,0.783771
STRG.98.1,6.53956,1.311482,0.853958
STRG.99.1,10.836966,2.173309,1.415128
STRG.100.1,5.061539,1.015071,0.660953
STRG.101.1,1.295923,0.259892,0.169226
STRG.101.2,52.132137,10.454886,6.80759
STRG.101.3,6.086608,1.220644,0.79481
STRG.102.1,24.027555,4.818628,3.137599
STRG.103.1,27.355667,5.486067,3.572196
STRG.104.1,1.0,0.200546,0.130583
STRG.105.1,1.0,0.200546,0.130583
STRG.106.1,1.296769,0.260062,0.169336
STRG.107.1,542.303345,108.756714,70.815804
STRG.107.2,66.785248,13.393507,8.721043
STRG.107.3,14.076115,2.822907,1.838107
STRG.107.4,2.084039,0.417945,0.272141
STRG.108.1,1.0,0.200546,0.130583
STRG.109.1,1394.138062,279.588654,182.051254
STRG.109.2,1.583047,0.317474,0.20672
STRG.109.3,1.463954,0.29359,0.191168
STRG.110.1,18.307737,3.671542,2.390686
STRG.110.2,2.753117,0.552126,0.359511
STRG.110.3,1.205904,0.241839,0.157471
STRG.111.1,3.942623,0.790677,0.514841
STRG.112.1,3.735962,0.749232,0.487855
STRG.113.1,4.534461,0.909368,0.592125
STRG.114.1,4.444672,0.891361,0.5804
STRG.115.1,29.642599,5.944702,3.870831
STRG.116.1,3.611328,0.724237,0.471579
STRG.117.1,9.892016,1.983803,1.291733
STRG.118.1,4.142899,0.830841,0.540994
STRG.118.2,3.424504,0.68677,0.447183
STRG.118.3,1.0,0.200546,0.130583
STRG.119.1,19.257521,3.862017,2.514712
STRG.119.2,4.120068,0.826263,0.538012
STRG.119.3,1.491081,0.29903,0.19471
STRG.120.1,1.628635,0.326616,0.212673
STRG.121.1,247.062943,49.547459,32.262314
STRG.122.1,7.585625,1.521266,0.990557
STRG.123.1,11.802208,2.366884,1.541172
STRG.124.1,62.619987,12.558182,8.17713
STRG.124.2,3.50883,0.703681,0.458195
STRG.125.1,30.572723,6.131234,3.99229
STRG.126.1,35.685452,7.15657,4.659927
STRG.127.1,1.617477,0.324378,0.211216
STRG.128.1,2.836407,0.56883,0.370388
STRG.128.2,8.278132,1.660145,1.080986
STRG.129.1,3.989918,0.800162,0.521017
STRG.129.2,3.120502,0.625804,0.407486
STRG.130.1,9.976753,2.000797,1.302798
STRG.131.1,501.500641,100.573898,65.487648
STRG.132.1,35.513878,7.122162,4.637522
STRG.133.1,13.676579,2.742782,1.785934
STRG.134.1,19.482994,3.907235,2.544155
STRG.135.1,43.614979,8.746805,5.695391
STRG.136.1,9.60465,1.926173,1.254208
STRG.137.1,96.014442,19.255302,12.537889
STRG.137.2,16.718203,3.352767,2.183119
STRG.135.2,12.531641,2.513169,1.636424
STRG.138.1,6.276261,1.258678,0.819575
STRG.138.2,2.043231,0.409762,0.266812
STRG.138.3,7.052604,1.414371,0.920953
STRG.138.4,3.935287,0.789206,0.513883
STRG.139.1,30.520597,6.12078,3.985483
STRG.139.2,3.994726,0.801126,0.521645
STRG.139.3,1.003431,0.201234,0.131031
STRG.140.1,1.951953,0.391456,0.254893
STRG.141.1,2.70421,0.542318,0.353125
STRG.142.1,66.300354,13.296264,8.657724
STRG.143.1,46.436134,9.312576,6.063787
STRG.143.2,2.054089,0.411939,0.26823
STRG.144.1,5.047229,1.012201,0.659084
STRG.145.1,6.510278,1.30561,0.850134
STRG.145.2,1.052803,0.211135,0.137479
STRG.146.1,32.253483,6.468304,4.211769
STRG.146.2,23.006126,4.613784,3.004218
STRG.146.3,13.651717,2.737796,1.782687
STRG.147.1,270.30426,54.208412,35.297241
STRG.148.1,7.50445,1.504987,0.979956
STRG.148.2,7.464184,1.496911,0.974698
STRG.149.1,87.338272,17.515331,11.404926
STRG.150.1,1.765267,0.354017,0.230515
STRG.151.1,31.819757,6.381322,4.155131
STRG.151.2,1.073249,0.215236,0.140148
STRG.152.1,1.0,0.200546,0.130583
STRG.153.1,53.332939,10.695702,6.964395
STRG.153.2,1.257648,0.252216,0.164228
STRG.154.1,2.221035,0.445419,0.29003
STRG.155.1,12.446175,2.496029,1.625264
STRG.156.1,13.961018,2.799825,1.823077
STRG.156.2,1.391241,0.279008,0.181673
STRG.157.1,3.566266,0.7152,0.465695
STRG.157.2,4.039169,0.810039,0.527448
STRG.157.3,2.177436,0.436676,0.284337
STRG.158.1,3.504131,0.702739,0.457581
STRG.159.1,1.0,0.200546,0.130583
STRG.160.1,5972.367676,1197.733765,779.891968
STRG.160.2,10.390078,2.083687,1.356771
STRG.161.1,10.734375,2.152735,1.401731
STRG.162.1,5.376686,1.078272,0.702106
STRG.162.2,2.231044,0.447427,0.291337
STRG.163.1,228.306229,45.785877,29.812998
STRG.164.1,2.41409,0.484136,0.31524
STRG.165.1,1.56591,0.314037,0.204482
STRG.166.1,1.0,0.200546,0.130583
STRG.167.1,1.0,0.200546,0.130583
STRG.168.1,10.992845,2.20457,1.435483
STRG.169.1,1.0,0.200546,0.130583
STRG.170.1,2.221386,0.44549,0.290076
STRG.171.1,20.640867,4.139441,2.695354
STRG.172.1,1.471217,0.295047,0.192116
STRG.173.1,8.210223,1.646527,1.072119
STRG.174.1,12.449089,2.496614,1.625644
STRG.175.1,3.395736,0.681001,0.443427
STRG.176.1,109.86158,22.032288,14.346095
STRG.176.2,10.250059,2.055607,1.338487
STRG.177.1,1.0,0.200546,0.130583
STRG.178.1,355.938416,71.381989,46.479637
STRG.179.1,25.495947,5.113108,3.329347
STRG.180.1,4.482397,0.898926,0.585327
STRG.181.1,2.01126,0.40335,0.262637
STRG.182.1,3.790831,0.760236,0.495019
STRG.183.1,193.715714,38.848892,25.296051
STRG.184.1,1.5,0.300819,0.195875
STRG.185.1,1.22093,0.244852,0.159433
STRG.186.1,27.67432,5.549972,3.613806
STRG.186.2,1.95791,0.392651,0.25567
STRG.186.3,1.855343,0.372081,0.242277
STRG.187.1,1.0,0.200546,0.130583
STRG.188.1,7.507285,1.505555,0.980327
STRG.188.2,4.789423,0.960499,0.625419
STRG.189.1,2.422271,0.485777,0.316308
